City,Country,Latitude,Longitude,Temp,Wind,Pressure,Humidity,Date
mount isa,AU,-20.7333,139.5,15.87,1.54,1015.0,48.0,1627742733.0
quatre cocos,MU,-20.2078,57.7625,21.16,8.07,1025.0,63.0,1627742734.0
mildura,AU,-34.2,142.15,10.98,0.0,1008.0,93.0,1627742736.0
mataura,NZ,-46.1927,168.8643,8.6,0.45,1011.0,99.0,1627742737.0
rikitea,PF,-23.1203,-134.9692,21.55,5.93,1013.0,70.0,1627742738.0
isangel,VU,-19.55,169.2667,20.49,6.64,1013.0,59.0,1627742740.0
wagar,SD,16.1525,36.2032,28.35,7.66,1012.0,60.0,1627742741.0
sentyabrskiy,,,,,,,,
saint george,US,37.1041,-113.5841,26.72,0.89,1017.0,57.0,1627742458.0
vanimo,PG,-2.6741,141.3028,25.54,2.04,1011.0,88.0,1627742745.0
marcona,,,,,,,,
upernavik,GL,72.7868,-56.1549,5.45,4.45,1011.0,80.0,1627742747.0
sijunjung,ID,-0.6876,100.9537,22.53,1.0,1014.0,97.0,1627742748.0
bluff,NZ,-46.6,168.3333,8.78,0.85,1011.0,95.0,1627742750.0
ullapool,GB,57.8987,-5.1604,13.65,3.08,1010.0,71.0,1627742751.0
amderma,,,,,,,,
ugoofaaru,MV,5.6667,73.0,27.66,4.54,1013.0,76.0,1627742754.0
sai buri,TH,6.7013,101.6168,26.62,5.18,1011.0,77.0,1627742755.0
albany,US,42.6001,-73.9662,17.8,0.45,1014.0,55.0,1627742643.0
college,US,64.8569,-147.8028,12.15,0.0,1015.0,86.0,1627742757.0
mys shmidta,,,,,,,,
kalabo,ZM,-14.97,22.6814,27.25,4.47,1017.0,16.0,1627742760.0
bontang,ID,0.1333,117.5,25.58,3.96,1011.0,89.0,1627742761.0
busselton,AU,-33.65,115.3333,11.69,12.97,1008.0,80.0,1627742762.0
codrington,AU,-38.2667,141.9667,7.7,3.77,1006.0,90.0,1627742764.0
cidreira,BR,-30.1811,-50.2056,14.71,6.78,1031.0,65.0,1627742765.0
yatou,CN,37.15,122.3833,24.68,3.5,999.0,95.0,1627742766.0
muisne,EC,0.6,-80.0333,26.06,4.6,1013.0,88.0,1627742768.0
yellowknife,CA,62.456,-114.3525,19.03,3.6,1018.0,77.0,1627742473.0
evensk,RU,61.95,159.2333,8.44,2.62,1007.0,61.0,1627742770.0
port alfred,ZA,-33.5906,26.891,20.05,2.55,1023.0,55.0,1627742772.0
pordim,BG,43.3833,24.85,37.42,4.64,1007.0,31.0,1627742773.0
moorhead,US,46.8739,-96.7676,22.2,5.14,1019.0,62.0,1627742774.0
nouakchott,MR,18.0858,-15.9785,26.96,6.3,1012.0,74.0,1627742775.0
benito juarez,MX,19.385,-99.165,15.17,0.45,1024.0,76.0,1627742777.0
lere,NG,10.387,8.5726,25.47,3.41,1012.0,80.0,1627742778.0
najran,SA,17.4924,44.1277,35.36,4.39,1005.0,23.0,1627742780.0
georgetown,MY,5.4112,100.3354,27.19,0.0,1011.0,87.0,1627742615.0
toliary,,,,,,,,
yulara,AU,-25.2406,130.9889,16.91,8.23,1015.0,63.0,1627742783.0
punta arenas,CL,-53.15,-70.9167,5.06,9.77,1011.0,65.0,1627742686.0
ust-nera,RU,64.5667,143.2,11.77,1.45,1010.0,68.0,1627742786.0
pawai,IN,24.2667,80.1667,26.1,7.17,999.0,84.0,1627742787.0
atuona,PF,-9.8,-139.0333,24.59,5.31,1013.0,74.0,1627742788.0
port elizabeth,ZA,-33.918,25.5701,25.16,2.57,1023.0,36.0,1627742790.0
nizwa,OM,22.9333,57.5333,37.04,0.71,1002.0,30.0,1627742791.0
kumluca,TR,36.3703,30.2869,35.02,3.99,1004.0,31.0,1627742792.0
springfield,US,37.2153,-93.2982,28.23,1.34,1017.0,74.0,1627742555.0
lebu,CL,-37.6167,-73.65,9.15,5.44,1027.0,66.0,1627742795.0
ancud,CL,-41.8697,-73.8203,2.74,2.29,1031.0,70.0,1627742796.0
