City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dingzhou,38.5131,114.9956,48.31,65,100,5.82,CN,1635205439
1,rikitea,-23.1203,-134.9692,75.45,72,69,18.92,PF,1635205439
2,yellowknife,62.456,-114.3525,42.42,94,90,1.99,CA,1635205439
3,manado,1.487,124.8455,83.17,83,20,1.14,ID,1635205440
4,kaspiysk,42.8816,47.6392,44.78,81,90,11.01,RU,1635205440
5,schermbeck,51.6833,6.8667,52.97,94,69,9.33,DE,1635205179
6,lebu,-37.6167,-73.65,52.38,93,6,13.33,CL,1635205308
7,joshimath,30.5667,79.5667,48.83,31,0,6.87,IN,1635205441
8,lompoc,34.6391,-120.4579,66.42,75,40,12.66,US,1635205386
9,bluff,-46.6,168.3333,54.79,87,79,8.99,NZ,1635205442
10,ostrovnoy,68.0531,39.5131,20.91,93,71,6.17,RU,1635205443
11,saint-philippe,-21.3585,55.7679,71.15,81,41,13.02,RE,1635205242
12,wokha,26.1,94.2667,50.5,92,1,3.42,IN,1635205444
13,manono,-7.3,27.4167,66.4,93,92,1.7,CD,1635205444
14,barrow,71.2906,-156.7887,26.62,80,90,13.8,US,1635205368
15,chuy,-33.6971,-53.4616,60.55,76,0,7.4,UY,1635205270
16,arona,28.0996,-16.681,68.76,68,40,11.5,ES,1635205445
17,saint george,37.1041,-113.5841,79.27,28,1,8.01,US,1635205229
18,saint-augustin,51.226,-58.6502,37.71,68,42,7.99,CA,1635205428
19,tuktoyaktuk,69.4541,-133.0374,30.2,100,90,5.75,CA,1635205258
20,hobart,-42.8794,147.3294,57.02,61,75,1.01,AU,1635205194
21,snezhnogorsk,69.1933,33.2531,22.78,91,100,1.61,RU,1635205446
22,jamestown,42.097,-79.2353,58.32,91,75,3.0,US,1635205226
23,albany,42.6001,-73.9662,57.74,91,100,3.85,US,1635205177
24,punta arenas,-53.15,-70.9167,41.11,70,40,9.22,CL,1635205229
25,yulara,-25.2406,130.9889,80.44,36,1,8.05,AU,1635205448
